25090900;PSD Bank;91
25120510;Sozialbank;09
25120960;Bayer Hypo- und Vereinsbank(ehem. Hypo);99
25151270;Stadtsparkasse Barsinghausen;00
25151371;Stadtsparkasse Burgdorf;00
25152375;Kreissparkasse Fallingbostel in Walsrode;00
25152490;Stadtsparkasse Wunstorf;00
25161322;Volksbank Burgdorf-Celle -alt-;28
25162563;Volksbank Garbsen -alt-;28
25190001;Hannoversche Volksbank;28
25190101;Lindener Volksbank -alt-;28
25191510;Volksbank -alt-;10
25193331;Volksbank;28
25250001;Kreissparkasse Peine;00
25260010;Volksbank Peine;28
25400000;Bundesbank eh Hameln;09
25410111;SEB;13
25410200;BHW Bausparkasse;09
25410300;BHW Allgemeine Bausparkasse -alt-;09
25420800;BHW Bank;28
25430000;Bayer HypoVereinsbank ex Vereins und Westbank;68
25440047;Commerzbank;13
25450001;Stadtsparkasse Hameln;00
25450110;Sparkasse Weserbergland;00
25451345;Stadtsparkasse Bad Pyrmont;00
25451450;Sparkasse Weserbergland;00
25451655;Sparkasse Weserbergland;00
25462160;Volksbank Hameln-Stadthagen;28
25462680;Volksbank am Ith;28
25470024;Deutsche Bank Privat und Geschäftskunden;63
25470073;Deutsche Bank;63
25471024;Deutsche Bank Privat und Geschäftskunden;63
25471073;Deutsche Bank;63
25480021;Dresdner Bank;76
25491071;Volksbank Bückeburg-Rinteln ehem VB Rinteln;28
25491273;Volksbank Aerzen;28
25491744;Volksbank Bad Münder;28
25541426;Commerzbank;13
25551480;Sparkasse Schaumburg;00
25562308;Volksbank Nordschaumburg -alt-;28
25562604;Volksbank Kirchhorsten -alt-;28
25591413;Volksbank in Schaumburg;28
25591748;Volksbank Obernkirchen -alt-;28
25621327;Oldenburgische Landesbank AG;61
25641302;Commerzbank;13
25650106;Sparkasse Nienburg;00
25651325;Kreissparkasse Grafschaft Diepholz;00
25662540;Volksbank;28
25663584;Volksbank Grafschaft Hoya;28
25690009;Volksbank Nienburg;28
25691633;Volksbank Sulingen;28
25700000;Bundesbank eh Celle;09
25730000;Bayer HypoVereinsbank ex Vereins und Westbank;68
25740061;Commerzbank;13
25750001;Sparkasse Celle;00
25761894;Volksbank Wittingen-Klötze;28
25770024;Deutsche Bank Privat und Geschäftskunden;63
25770069;Deutsche Bank;63
25780022;Dresdner Bank;76
25791516;Volksbank Hankensbüttel-Wahrenholz;28
25791635;Volksbank Celler Land;28
25800000;Bundesbank eh Uelzen;09
25840048;Commerzbank;13
25841403;Commerzbank;13
25841708;Commerzbank;13
25850110;Sparkasse Uelzen Lüchow-Dannenberg;00
25851335;Sparkasse Uelzen Lüchow-Dannenberg;00
25851660;Kreissparkasse Soltau;00
25861395;Volksbank Dannenberg -alt-;28
25861990;Volksbank Clenze-Schnega;28
25862292;Volksbank Uelzen-Bevensen;28
25862393;Volksbank;09
25863489;Volksbank Osterburg-Lüchow-Dannenberg;28
25868425;Volksbank Ostkreis Uelzen;28
25891483;Volksbank Osterburg-Lüchow-Dannenberg -alt-;28
25891636;Volksbank Lüneburger Heide;28
25900000;Bundesbank eh Hildesheim;09
25910111;SEB;13
25930000;Bayer HypoVereinsbank ex Vereins und Westbank;68
25940033;Commerzbank;13
25950001;Stadtsparkasse Hildesheim -alt-;B1
25950130;Sparkasse Hildesheim;B1
25960192;Bankhaus Hallbaum;00
25962470;Volksbank Hildesheim -alt-;28
25970024;Deutsche Bank Privat und Geschäftskunden;63
25970074;Deutsche Bank;63
25971024;Deutsche Bank Privat und Geschäftskunden;63
25971071;Deutsche Bank;63
25980027;Dresdner Bank;76
25990011;Volksbank Hildesheim;28
25991528;Volksbank Hildesheimer Börde;28
25991911;Volksbank Sarstedt -alt-;28
26000000;Bundesbank;09
26010111;SEB;13
26030000;Bayer HypoVereinsbank ex Vereins und Westbank;68
26040030;Commerzbank;13
26050001;Sparkasse Göttingen;00
26051260;Sparkasse Duderstadt;00
26051450;Kreis- und Stadtsparkasse Münden;00
26060184;Bankhaus Hallbaum;00
26061291;Volksbank Eichsfeld-Northeim;48
26061556;Volksbank;28
26062433;Volksbank Dransfeld;32
26062575;Raiffeisenbank;28
26066458;Raiffeisenbank Seulingen -alt-;28
26070024;Deutsche Bank Privat und Geschäftskunden;63
26070072;Deutsche Bank;63
26080024;Dresdner Bank;76
26090050;Volksbank;28
26240039;Commerzbank;13
26250001;Kreis-Sparkasse Northeim;00
26251425;Sparkasse Einbeck;00
26261396;Volksbank Dassel;28
26261492;Volksbank Einbeck;28
26261693;Volksbank Solling;28
26264884;Volksbank am Südharz;09
26271424;Deutsche Bank Privat und Geschäftskunden;63
26271471;Deutsche Bank;63
26280020;Dresdner Bank;76
26281420;Dresdner Bank;76
26340056;Commerzbank;13
26341072;Commerzbank;13
26350001;Stadtsparkasse Osterode;00
26351015;Sparkasse Osterode am Harz;00
26351445;Stadtsparkasse Bad Sachsa;00
26360231;Raiffeisenbank Dorste-Schwiegershausen;28
26361299;Volksbank Oberharz;28
26500000;Bundesbank;09
26510111;SEB;13
26520017;Oldenburgische Landesbank AG;61
26521703;Oldenburgische Landesbank AG;61
26522319;Oldenburgische Landesbank AG;61
26540070;Commerzbank;13
26550105;Sparkasse Osnabrück;00
26551540;Kreissparkasse Bersenbrück;00
26552286;Kreissparkasse Melle;00
26560189;Bankhaus Hallbaum;00
26560625;Deutsche Apotheker- und Ärztebank;14
26562490;Volksbank Bad Laer-Borgloh-Hilter-Melle;28
26562694;Volksbank Wittlage;28
26563942;Raiffeisenbank Voltlage-Neuenkirchen;28
26563960;Volksbank Bramgau im Osnabrücker Land;28
26565928;Volksbank GMHütte-Hagen-Bissendorf;28
26566939;Volksbank Osnabrücker Nordland;28
26567943;Raiffeisen-Volksbank Grafeld-Nortrup;28
26568924;Volksbank Hilter-Bad Laer -alt-;28
26570024;Deutsche Bank Privat und Geschäftskunden;63
26570090;Deutsche Bank;63
26580070;Dresdner Bank;76
26589210;Dresdner Bank ITGK;09
26590025;Volksbank Osnabrück;28
26600000;Bundesbank eh Lingen (Ems);09
26620010;Oldenburgische Landesbank AG;61
26621413;Oldenburgische Landesbank AG;61
26640049;Commerzbank;13
26650001;Sparkasse Emsland;00
26651425;Sparkasse Emsland -alt-;00
26660060;Volksbank Lingen;28
26661380;Volksbank Haselünne;28
26661494;Emsländische Volksbank;28
26661593;Volksbank Emstal Rütenbrock-Lathen;28
26661912;Volksbank Süd-Emsland;28
26662932;Volksbank;28
26691213;Volksbank Haren Fil d Ostfriesischen VB;28
26720028;Oldenburgische Landesbank AG;61
26740044;Commerzbank;13
26750001;Kreissparkasse Grafschaft Bentheim zu Nordhorn;00
26760005;Raiffeisen- und Volksbank Nordhorn -alt-;28
26770024;Deutsche Bank Privat und Geschäftskunden;63
26770095;Deutsche Bank;63
26800000;Bundesbank eh Halberstadt;09
26840032;Commerzbank;13
26850001;Sparkasse Goslar/Harz;00
26851410;Kreissparkasse Clausthal-Zellerfeld;00
26851620;Sparkasse Salzgitter;22
26870024;Deutsche Bank Privat und Geschäftskunden;63
26870032;Deutsche Bank;63
26880063;Dresdner Bank;76
26890019;Volksbank Nordharz;28
26891484;Volksbank im Harz;28
26941053;Commerzbank;13
26951311;Sparkasse Gifhorn-Wolfsburg;00
26971024;Deutsche Bank Privat und Geschäftskunden;63
26971038;Deutsche Bank;63
26981062;Dresdner Bank;76
26989221;Dresdner Bank ITGK;09
26991066;Volksbank Braunschweig Wolfsburg;50
27000000;Bundesbank;09
27010111;SEB;13
27010200;VON ESSEN Bankgesellschaft;09
27020000;Volkswagen Bank;09
27020001;AUDI BANK Zndl d Volkswagen Bank;09
27020003;Skoda Bank;09
27020004;Europcar Bank;09
27020800;Seat Bank Zndl d Volkswagen Bank;09
27030000;Bayer HypoVereinsbank ex Vereins und Westbank;68
27032500;Bankhaus C. L. Seeliger;09
